2026-01-29 02:52:01,072 | INFO | Run started: run_id=cfpb_company_sudden__retrain_p1_last_window_wb1_fit__025201
2026-01-29 02:52:01,072 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260129_025059__cfpb_gradual_sgd\runs\cfpb_company_sudden__retrain_p1_last_window_wb1_fit__025201
2026-01-29 02:52:03,333 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=5000 wall=0.22198700904846191 cpu=0.21875 rss_mb=None info={'pretrain_batches': 10, 'pre_acc': 0.7262, 'pre_f1_macro': 0.5237384729591804}
2026-01-29 02:52:03,382 | INFO | EVENT retrain_fit batch_id=11 reason=periodic train_n=500 wall=0.0255281925201416 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 1, 'buffer_size': 500, 'global_batch_id': 11}
2026-01-29 02:52:03,442 | INFO | EVENT retrain_fit batch_id=12 reason=periodic train_n=500 wall=0.0271759033203125 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 2, 'buffer_size': 500, 'global_batch_id': 12}
2026-01-29 02:52:03,486 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=500 wall=0.023019790649414062 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 3, 'buffer_size': 500, 'global_batch_id': 13}
2026-01-29 02:52:03,533 | INFO | EVENT retrain_fit batch_id=14 reason=periodic train_n=500 wall=0.02501535415649414 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 4, 'buffer_size': 500, 'global_batch_id': 14}
2026-01-29 02:52:03,583 | INFO | EVENT retrain_fit batch_id=15 reason=periodic train_n=500 wall=0.026519060134887695 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 5, 'buffer_size': 500, 'global_batch_id': 15}
2026-01-29 02:52:03,636 | INFO | EVENT retrain_fit batch_id=16 reason=periodic train_n=500 wall=0.028518199920654297 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 6, 'buffer_size': 500, 'global_batch_id': 16}
2026-01-29 02:52:03,686 | INFO | EVENT retrain_fit batch_id=17 reason=periodic train_n=500 wall=0.02654123306274414 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 7, 'buffer_size': 500, 'global_batch_id': 17}
2026-01-29 02:52:03,733 | INFO | EVENT retrain_fit batch_id=18 reason=periodic train_n=500 wall=0.026104450225830078 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 8, 'buffer_size': 500, 'global_batch_id': 18}
2026-01-29 02:52:03,780 | INFO | EVENT retrain_fit batch_id=19 reason=periodic train_n=500 wall=0.02450871467590332 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 9, 'buffer_size': 500, 'global_batch_id': 19}
2026-01-29 02:52:03,824 | INFO | EVENT retrain_fit batch_id=20 reason=periodic train_n=500 wall=0.024008989334106445 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 10, 'buffer_size': 500, 'global_batch_id': 20}
2026-01-29 02:52:03,887 | INFO | EVENT retrain_fit batch_id=21 reason=periodic train_n=500 wall=0.03352022171020508 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 11, 'buffer_size': 500, 'global_batch_id': 21}
2026-01-29 02:52:03,944 | INFO | EVENT retrain_fit batch_id=22 reason=periodic train_n=500 wall=0.031030893325805664 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 12, 'buffer_size': 500, 'global_batch_id': 22}
2026-01-29 02:52:04,000 | INFO | EVENT retrain_fit batch_id=23 reason=periodic train_n=500 wall=0.02851700782775879 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 13, 'buffer_size': 500, 'global_batch_id': 23}
2026-01-29 02:52:04,060 | INFO | EVENT retrain_fit batch_id=24 reason=periodic train_n=500 wall=0.031298160552978516 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 14, 'buffer_size': 500, 'global_batch_id': 24}
