2026-01-28 04:05:18,514 | INFO | Run started: run_id=BE_sudden__retrain_p4_last_window_wb4_update__040518
2026-01-28 04:05:18,514 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260128_040455__domain_sudden_sgd\runs\BE_sudden__retrain_p4_last_window_wb4_update__040518
2026-01-28 04:05:18,816 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.04200291633605957 cpu=0.046875 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 0.9452, 'pre_f1_macro': 0.7665352674892351}
2026-01-28 04:05:18,901 | INFO | EVENT retrain_update batch_id=9 reason=periodic train_n=2000 wall=0.03199934959411621 cpu=0.03125 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 4, 'buffer_size': 2000, 'global_batch_id': 9}
2026-01-28 04:05:18,975 | INFO | EVENT retrain_update batch_id=13 reason=periodic train_n=2000 wall=0.030000686645507812 cpu=0.03125 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 8, 'buffer_size': 2000, 'global_batch_id': 13}
2026-01-28 04:05:19,039 | INFO | EVENT retrain_update batch_id=17 reason=periodic train_n=2000 wall=0.026256322860717773 cpu=0.015625 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 12, 'buffer_size': 2000, 'global_batch_id': 17}
2026-01-28 04:05:19,097 | INFO | EVENT retrain_update batch_id=21 reason=periodic train_n=2000 wall=0.02153778076171875 cpu=0.015625 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 16, 'buffer_size': 2000, 'global_batch_id': 21}
2026-01-28 04:05:19,151 | INFO | EVENT retrain_update batch_id=25 reason=periodic train_n=2000 wall=0.02099895477294922 cpu=0.015625 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 20, 'buffer_size': 2000, 'global_batch_id': 25}
2026-01-28 04:05:19,205 | INFO | EVENT retrain_update batch_id=29 reason=periodic train_n=2000 wall=0.022000551223754883 cpu=0.015625 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 24, 'buffer_size': 2000, 'global_batch_id': 29}
2026-01-28 04:05:19,264 | INFO | EVENT retrain_update batch_id=33 reason=periodic train_n=2000 wall=0.022001266479492188 cpu=0.03125 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 28, 'buffer_size': 2000, 'global_batch_id': 33}
2026-01-28 04:05:19,318 | INFO | EVENT retrain_update batch_id=37 reason=periodic train_n=2000 wall=0.020999908447265625 cpu=0.015625 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 32, 'buffer_size': 2000, 'global_batch_id': 37}
2026-01-28 04:05:19,375 | INFO | EVENT retrain_update batch_id=41 reason=periodic train_n=2000 wall=0.02200150489807129 cpu=0.03125 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 36, 'buffer_size': 2000, 'global_batch_id': 41}
2026-01-28 04:05:19,431 | INFO | EVENT retrain_update batch_id=45 reason=periodic train_n=2000 wall=0.02199864387512207 cpu=0.015625 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 40, 'buffer_size': 2000, 'global_batch_id': 45}
2026-01-28 04:05:19,431 | INFO | Run finished. total={'wall_sec': 0.9172136783599854, 'cpu_sec': 0.90625, 'cpu_pct': 98.8046756586111, 'rss_mb': None} peak_rss_mb=None
