2026-01-27 18:47:06,833 | INFO | Run started: run_id=huffpost_years__retrain_p2_last_window_wb2_update__184706
2026-01-27 18:47:06,833 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260127_184700__huffpost_nb_gradual\runs\huffpost_years__retrain_p2_last_window_wb2_update__184706
2026-01-27 18:47:06,918 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=3000 wall=0.012000799179077148 cpu=0.015625 rss_mb=None info={'pretrain_batches': 6, 'pre_acc': 0.9346666666666666, 'pre_f1_macro': 0.9228743482237184}
2026-01-27 18:47:06,934 | INFO | EVENT retrain_update batch_id=8 reason=periodic train_n=1000 wall=0.0040013790130615234 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 2, 'buffer_size': 1000, 'global_batch_id': 8}
2026-01-27 18:47:06,950 | INFO | EVENT retrain_update batch_id=10 reason=periodic train_n=1000 wall=0.004000425338745117 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 4, 'buffer_size': 1000, 'global_batch_id': 10}
2026-01-27 18:47:06,966 | INFO | EVENT retrain_update batch_id=12 reason=periodic train_n=1000 wall=0.004000186920166016 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 6, 'buffer_size': 1000, 'global_batch_id': 12}
2026-01-27 18:47:06,980 | INFO | EVENT retrain_update batch_id=14 reason=periodic train_n=1000 wall=0.005002021789550781 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 8, 'buffer_size': 1000, 'global_batch_id': 14}
2026-01-27 18:47:06,996 | INFO | EVENT retrain_update batch_id=16 reason=periodic train_n=1000 wall=0.004001140594482422 cpu=0.0 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 10, 'buffer_size': 1000, 'global_batch_id': 16}
2026-01-27 18:47:07,011 | INFO | EVENT retrain_update batch_id=18 reason=periodic train_n=1000 wall=0.004999399185180664 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 12, 'buffer_size': 1000, 'global_batch_id': 18}
2026-01-27 18:47:07,028 | INFO | EVENT retrain_update batch_id=20 reason=periodic train_n=1000 wall=0.005004167556762695 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 14, 'buffer_size': 1000, 'global_batch_id': 20}
2026-01-27 18:47:07,043 | INFO | EVENT retrain_update batch_id=22 reason=periodic train_n=1000 wall=0.004999399185180664 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 16, 'buffer_size': 1000, 'global_batch_id': 22}
2026-01-27 18:47:07,058 | INFO | EVENT retrain_update batch_id=24 reason=periodic train_n=1000 wall=0.004999876022338867 cpu=0.0 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 18, 'buffer_size': 1000, 'global_batch_id': 24}
2026-01-27 18:47:07,074 | INFO | EVENT retrain_update batch_id=26 reason=periodic train_n=1000 wall=0.005034446716308594 cpu=0.0 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 20, 'buffer_size': 1000, 'global_batch_id': 26}
2026-01-27 18:47:07,093 | INFO | EVENT retrain_update batch_id=28 reason=periodic train_n=1000 wall=0.004999637603759766 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 22, 'buffer_size': 1000, 'global_batch_id': 28}
2026-01-27 18:47:07,113 | INFO | EVENT retrain_update batch_id=30 reason=periodic train_n=1000 wall=0.005000114440917969 cpu=0.0 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 24, 'buffer_size': 1000, 'global_batch_id': 30}
2026-01-27 18:47:07,129 | INFO | EVENT retrain_update batch_id=32 reason=periodic train_n=1000 wall=0.004996299743652344 cpu=0.0 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 26, 'buffer_size': 1000, 'global_batch_id': 32}
2026-01-27 18:47:07,145 | INFO | EVENT retrain_update batch_id=34 reason=periodic train_n=1000 wall=0.004996538162231445 cpu=0.0 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 28, 'buffer_size': 1000, 'global_batch_id': 34}
2026-01-27 18:47:07,161 | INFO | EVENT retrain_update batch_id=36 reason=periodic train_n=1000 wall=0.005001544952392578 cpu=0.0 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 30, 'buffer_size': 1000, 'global_batch_id': 36}
2026-01-27 18:47:07,177 | INFO | EVENT retrain_update batch_id=38 reason=periodic train_n=1000 wall=0.004998683929443359 cpu=0.0 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 32, 'buffer_size': 1000, 'global_batch_id': 38}
2026-01-27 18:47:07,193 | INFO | EVENT retrain_update batch_id=40 reason=periodic train_n=1000 wall=0.003998756408691406 cpu=0.0 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 34, 'buffer_size': 1000, 'global_batch_id': 40}
2026-01-27 18:47:07,212 | INFO | EVENT retrain_update batch_id=42 reason=periodic train_n=1000 wall=0.007001161575317383 cpu=0.0 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 36, 'buffer_size': 1000, 'global_batch_id': 42}
2026-01-27 18:47:07,212 | INFO | Run finished. total={'wall_sec': 0.3791036605834961, 'cpu_sec': 0.359375, 'cpu_pct': 94.79597201643192, 'rss_mb': None} peak_rss_mb=None
