ts,run_id,event_type,batch_id,reason,train_n,info,wall_fit_sec,cpu_fit_sec,cpu_fit_pct,rss_mb
2026-01-27 18:42:41,huffpost_years__retrain_p4_last_window_wb4_update__184241,pretrain_fit,,pretrain,3000,"{""pretrain_batches"": 6, ""pre_acc"": 1.0, ""pre_f1_macro"": 1.0}",0.026001930236816406,0.03125,120.18338529249955,
2026-01-27 18:42:41,huffpost_years__retrain_p4_last_window_wb4_update__184241,retrain_update,10,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 4, ""buffer_size"": 2000, ""global_batch_id"": 10}",0.009001016616821289,0.015625,173.5915026620401,
2026-01-27 18:42:41,huffpost_years__retrain_p4_last_window_wb4_update__184241,retrain_update,14,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 8, ""buffer_size"": 2000, ""global_batch_id"": 14}",0.008998870849609375,0.0,0.0,
2026-01-27 18:42:41,huffpost_years__retrain_p4_last_window_wb4_update__184241,retrain_update,18,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 12, ""buffer_size"": 2000, ""global_batch_id"": 18}",0.008999347686767578,0.0,0.0,
2026-01-27 18:42:41,huffpost_years__retrain_p4_last_window_wb4_update__184241,retrain_update,22,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 16, ""buffer_size"": 2000, ""global_batch_id"": 22}",0.009000539779663086,0.0,0.0,
2026-01-27 18:42:41,huffpost_years__retrain_p4_last_window_wb4_update__184241,retrain_update,26,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 20, ""buffer_size"": 2000, ""global_batch_id"": 26}",0.009999275207519531,0.015625,156.26132570338578,
2026-01-27 18:42:41,huffpost_years__retrain_p4_last_window_wb4_update__184241,retrain_update,30,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 24, ""buffer_size"": 2000, ""global_batch_id"": 30}",0.009000062942504883,0.015625,173.6098969509126,
2026-01-27 18:42:41,huffpost_years__retrain_p4_last_window_wb4_update__184241,retrain_update,34,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 28, ""buffer_size"": 2000, ""global_batch_id"": 34}",0.009999990463256836,0.015625,156.25014901175405,
2026-01-27 18:42:41,huffpost_years__retrain_p4_last_window_wb4_update__184241,retrain_update,38,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 32, ""buffer_size"": 2000, ""global_batch_id"": 38}",0.009999275207519531,0.015625,156.26132570338578,
2026-01-27 18:42:41,huffpost_years__retrain_p4_last_window_wb4_update__184241,retrain_update,42,periodic,2000,"{""period_batches"": 4, ""stream_batches_seen"": 36, ""buffer_size"": 2000, ""global_batch_id"": 42}",0.009999752044677734,0.015625,156.25387439797817,
