2026-01-28 04:11:53,641 | INFO | Run started: run_id=BE_gradual__retrain_p1_last_window_wb1_fit__041153
2026-01-28 04:11:53,642 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260128_041128__domain_gradual_lr\runs\BE_gradual__retrain_p1_last_window_wb1_fit__041153
2026-01-28 04:11:54,000 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.08999872207641602 cpu=0.09375 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 0.9144, 'pre_f1_macro': 0.5241500519432466}
2026-01-28 04:11:54,039 | INFO | EVENT retrain_fit batch_id=6 reason=periodic train_n=500 wall=0.02299952507019043 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 1, 'buffer_size': 500, 'global_batch_id': 6}
2026-01-28 04:11:54,088 | INFO | EVENT retrain_fit batch_id=7 reason=periodic train_n=500 wall=0.01999831199645996 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 2, 'buffer_size': 500, 'global_batch_id': 7}
2026-01-28 04:11:54,121 | INFO | EVENT retrain_fit batch_id=8 reason=periodic train_n=500 wall=0.017999649047851562 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 3, 'buffer_size': 500, 'global_batch_id': 8}
2026-01-28 04:11:54,150 | INFO | EVENT retrain_fit batch_id=9 reason=periodic train_n=500 wall=0.016999483108520508 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 4, 'buffer_size': 500, 'global_batch_id': 9}
2026-01-28 04:11:54,177 | INFO | EVENT retrain_fit batch_id=10 reason=periodic train_n=500 wall=0.0149993896484375 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 5, 'buffer_size': 500, 'global_batch_id': 10}
2026-01-28 04:11:54,207 | INFO | EVENT retrain_fit batch_id=11 reason=periodic train_n=500 wall=0.016001224517822266 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 6, 'buffer_size': 500, 'global_batch_id': 11}
2026-01-28 04:11:54,237 | INFO | EVENT retrain_fit batch_id=12 reason=periodic train_n=500 wall=0.018002748489379883 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 7, 'buffer_size': 500, 'global_batch_id': 12}
2026-01-28 04:11:54,265 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=500 wall=0.016002178192138672 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 8, 'buffer_size': 500, 'global_batch_id': 13}
2026-01-28 04:11:54,294 | INFO | EVENT retrain_fit batch_id=14 reason=periodic train_n=500 wall=0.01699972152709961 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 9, 'buffer_size': 500, 'global_batch_id': 14}
2026-01-28 04:11:54,325 | INFO | EVENT retrain_fit batch_id=15 reason=periodic train_n=500 wall=0.017002344131469727 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 10, 'buffer_size': 500, 'global_batch_id': 15}
2026-01-28 04:11:54,354 | INFO | EVENT retrain_fit batch_id=16 reason=periodic train_n=500 wall=0.016999006271362305 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 11, 'buffer_size': 500, 'global_batch_id': 16}
2026-01-28 04:11:54,386 | INFO | EVENT retrain_fit batch_id=17 reason=periodic train_n=500 wall=0.0189971923828125 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 12, 'buffer_size': 500, 'global_batch_id': 17}
2026-01-28 04:11:54,414 | INFO | EVENT retrain_fit batch_id=18 reason=periodic train_n=500 wall=0.014998912811279297 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 13, 'buffer_size': 500, 'global_batch_id': 18}
2026-01-28 04:11:54,441 | INFO | EVENT retrain_fit batch_id=19 reason=periodic train_n=500 wall=0.016000747680664062 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 14, 'buffer_size': 500, 'global_batch_id': 19}
2026-01-28 04:11:54,470 | INFO | EVENT retrain_fit batch_id=20 reason=periodic train_n=500 wall=0.01599907875061035 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 15, 'buffer_size': 500, 'global_batch_id': 20}
2026-01-28 04:11:54,497 | INFO | EVENT retrain_fit batch_id=21 reason=periodic train_n=500 wall=0.01599907875061035 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 16, 'buffer_size': 500, 'global_batch_id': 21}
2026-01-28 04:11:54,527 | INFO | EVENT retrain_fit batch_id=22 reason=periodic train_n=500 wall=0.016998767852783203 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 17, 'buffer_size': 500, 'global_batch_id': 22}
2026-01-28 04:11:54,561 | INFO | EVENT retrain_fit batch_id=23 reason=periodic train_n=500 wall=0.017113685607910156 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 18, 'buffer_size': 500, 'global_batch_id': 23}
2026-01-28 04:11:54,589 | INFO | EVENT retrain_fit batch_id=24 reason=periodic train_n=500 wall=0.016997575759887695 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 19, 'buffer_size': 500, 'global_batch_id': 24}
2026-01-28 04:11:54,618 | INFO | EVENT retrain_fit batch_id=25 reason=periodic train_n=500 wall=0.01599884033203125 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 20, 'buffer_size': 500, 'global_batch_id': 25}
2026-01-28 04:11:54,643 | INFO | EVENT retrain_fit batch_id=26 reason=periodic train_n=500 wall=0.014001131057739258 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 21, 'buffer_size': 500, 'global_batch_id': 26}
2026-01-28 04:11:54,673 | INFO | EVENT retrain_fit batch_id=27 reason=periodic train_n=500 wall=0.01699972152709961 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 22, 'buffer_size': 500, 'global_batch_id': 27}
2026-01-28 04:11:54,700 | INFO | EVENT retrain_fit batch_id=28 reason=periodic train_n=500 wall=0.01599907875061035 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 23, 'buffer_size': 500, 'global_batch_id': 28}
2026-01-28 04:11:54,728 | INFO | EVENT retrain_fit batch_id=29 reason=periodic train_n=500 wall=0.014997243881225586 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 24, 'buffer_size': 500, 'global_batch_id': 29}
2026-01-28 04:11:54,755 | INFO | EVENT retrain_fit batch_id=30 reason=periodic train_n=500 wall=0.016000032424926758 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 25, 'buffer_size': 500, 'global_batch_id': 30}
2026-01-28 04:11:54,785 | INFO | EVENT retrain_fit batch_id=31 reason=periodic train_n=500 wall=0.01599860191345215 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 26, 'buffer_size': 500, 'global_batch_id': 31}
2026-01-28 04:11:54,814 | INFO | EVENT retrain_fit batch_id=32 reason=periodic train_n=500 wall=0.017997264862060547 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 27, 'buffer_size': 500, 'global_batch_id': 32}
2026-01-28 04:11:54,843 | INFO | EVENT retrain_fit batch_id=33 reason=periodic train_n=500 wall=0.01511693000793457 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 28, 'buffer_size': 500, 'global_batch_id': 33}
2026-01-28 04:11:54,873 | INFO | EVENT retrain_fit batch_id=34 reason=periodic train_n=500 wall=0.017996788024902344 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 29, 'buffer_size': 500, 'global_batch_id': 34}
2026-01-28 04:11:54,901 | INFO | EVENT retrain_fit batch_id=35 reason=periodic train_n=500 wall=0.016998291015625 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 30, 'buffer_size': 500, 'global_batch_id': 35}
