2026-01-29 02:58:03,537 | INFO | Run started: run_id=cfpb_company_sudden__retrain_p1_last_window_wb1_update__025803
2026-01-29 02:58:03,537 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260129_025637__cfpb_gradual_pa\runs\cfpb_company_sudden__retrain_p1_last_window_wb1_update__025803
2026-01-29 02:58:06,135 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=5000 wall=0.3952510356903076 cpu=0.40625 rss_mb=None info={'pretrain_batches': 10, 'pre_acc': 0.9536, 'pre_f1_macro': 0.9582352394786001}
2026-01-29 02:58:06,179 | INFO | EVENT retrain_update batch_id=11 reason=periodic train_n=500 wall=0.02000284194946289 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 1, 'buffer_size': 500, 'global_batch_id': 11}
2026-01-29 02:58:06,223 | INFO | EVENT retrain_update batch_id=12 reason=periodic train_n=500 wall=0.020996570587158203 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 2, 'buffer_size': 500, 'global_batch_id': 12}
2026-01-29 02:58:06,266 | INFO | EVENT retrain_update batch_id=13 reason=periodic train_n=500 wall=0.021000385284423828 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 3, 'buffer_size': 500, 'global_batch_id': 13}
2026-01-29 02:58:06,321 | INFO | EVENT retrain_update batch_id=14 reason=periodic train_n=500 wall=0.023003101348876953 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 4, 'buffer_size': 500, 'global_batch_id': 14}
2026-01-29 02:58:06,366 | INFO | EVENT retrain_update batch_id=15 reason=periodic train_n=500 wall=0.020810842514038086 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 5, 'buffer_size': 500, 'global_batch_id': 15}
2026-01-29 02:58:06,412 | INFO | EVENT retrain_update batch_id=16 reason=periodic train_n=500 wall=0.021003007888793945 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 6, 'buffer_size': 500, 'global_batch_id': 16}
2026-01-29 02:58:06,454 | INFO | EVENT retrain_update batch_id=17 reason=periodic train_n=500 wall=0.019484758377075195 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 7, 'buffer_size': 500, 'global_batch_id': 17}
2026-01-29 02:58:06,498 | INFO | EVENT retrain_update batch_id=18 reason=periodic train_n=500 wall=0.0189971923828125 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 8, 'buffer_size': 500, 'global_batch_id': 18}
2026-01-29 02:58:06,537 | INFO | EVENT retrain_update batch_id=19 reason=periodic train_n=500 wall=0.018996238708496094 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 9, 'buffer_size': 500, 'global_batch_id': 19}
2026-01-29 02:58:06,577 | INFO | EVENT retrain_update batch_id=20 reason=periodic train_n=500 wall=0.018002986907958984 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 10, 'buffer_size': 500, 'global_batch_id': 20}
2026-01-29 02:58:06,631 | INFO | EVENT retrain_update batch_id=21 reason=periodic train_n=500 wall=0.02500152587890625 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 11, 'buffer_size': 500, 'global_batch_id': 21}
2026-01-29 02:58:06,683 | INFO | EVENT retrain_update batch_id=22 reason=periodic train_n=500 wall=0.02697014808654785 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 12, 'buffer_size': 500, 'global_batch_id': 22}
2026-01-29 02:58:06,732 | INFO | EVENT retrain_update batch_id=23 reason=periodic train_n=500 wall=0.023000001907348633 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 13, 'buffer_size': 500, 'global_batch_id': 23}
2026-01-29 02:58:06,786 | INFO | EVENT retrain_update batch_id=24 reason=periodic train_n=500 wall=0.026572227478027344 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 14, 'buffer_size': 500, 'global_batch_id': 24}
2026-01-29 02:58:06,834 | INFO | EVENT retrain_update batch_id=25 reason=periodic train_n=500 wall=0.021999120712280273 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 15, 'buffer_size': 500, 'global_batch_id': 25}
2026-01-29 02:58:06,884 | INFO | EVENT retrain_update batch_id=26 reason=periodic train_n=500 wall=0.025005817413330078 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 16, 'buffer_size': 500, 'global_batch_id': 26}
2026-01-29 02:58:06,937 | INFO | EVENT retrain_update batch_id=27 reason=periodic train_n=500 wall=0.023997783660888672 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 17, 'buffer_size': 500, 'global_batch_id': 27}
2026-01-29 02:58:06,986 | INFO | EVENT retrain_update batch_id=28 reason=periodic train_n=500 wall=0.024004459381103516 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 18, 'buffer_size': 500, 'global_batch_id': 28}
2026-01-29 02:58:07,036 | INFO | EVENT retrain_update batch_id=29 reason=periodic train_n=500 wall=0.02200484275817871 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 19, 'buffer_size': 500, 'global_batch_id': 29}
2026-01-29 02:58:07,081 | INFO | EVENT retrain_update batch_id=30 reason=periodic train_n=500 wall=0.022002696990966797 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 20, 'buffer_size': 500, 'global_batch_id': 30}
2026-01-29 02:58:07,136 | INFO | EVENT retrain_update batch_id=31 reason=periodic train_n=500 wall=0.026000022888183594 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 21, 'buffer_size': 500, 'global_batch_id': 31}
