2026-01-28 04:19:20,512 | INFO | Run started: run_id=BE_temporary__retrain_p4_last_window_wb4_fit__041920
2026-01-28 04:19:20,512 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260128_041853__domain_temporary\runs\BE_temporary__retrain_p4_last_window_wb4_fit__041920
2026-01-28 04:19:20,862 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.06399893760681152 cpu=0.0625 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 0.9144, 'pre_f1_macro': 0.5241500519432466}
2026-01-28 04:19:20,970 | INFO | EVENT retrain_fit batch_id=9 reason=periodic train_n=2000 wall=0.05599784851074219 cpu=0.0625 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 4, 'buffer_size': 2000, 'global_batch_id': 9}
2026-01-28 04:19:21,067 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=2000 wall=0.05024981498718262 cpu=0.046875 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 8, 'buffer_size': 2000, 'global_batch_id': 13}
2026-01-28 04:19:21,153 | INFO | EVENT retrain_fit batch_id=17 reason=periodic train_n=2000 wall=0.0449221134185791 cpu=0.046875 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 12, 'buffer_size': 2000, 'global_batch_id': 17}
2026-01-28 04:19:21,236 | INFO | EVENT retrain_fit batch_id=21 reason=periodic train_n=2000 wall=0.04500126838684082 cpu=0.046875 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 16, 'buffer_size': 2000, 'global_batch_id': 21}
2026-01-28 04:19:21,320 | INFO | EVENT retrain_fit batch_id=25 reason=periodic train_n=2000 wall=0.04300069808959961 cpu=0.03125 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 20, 'buffer_size': 2000, 'global_batch_id': 25}
2026-01-28 04:19:21,461 | INFO | EVENT retrain_fit batch_id=29 reason=periodic train_n=2000 wall=0.08889961242675781 cpu=0.078125 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 24, 'buffer_size': 2000, 'global_batch_id': 29}
2026-01-28 04:19:21,568 | INFO | EVENT retrain_fit batch_id=33 reason=periodic train_n=2000 wall=0.051996469497680664 cpu=0.046875 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 28, 'buffer_size': 2000, 'global_batch_id': 33}
2026-01-28 04:19:21,677 | INFO | EVENT retrain_fit batch_id=37 reason=periodic train_n=2000 wall=0.05700063705444336 cpu=0.046875 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 32, 'buffer_size': 2000, 'global_batch_id': 37}
2026-01-28 04:19:21,781 | INFO | EVENT retrain_fit batch_id=41 reason=periodic train_n=2000 wall=0.049997568130493164 cpu=0.046875 rss_mb=None info={'period_batches': 4, 'stream_batches_seen': 36, 'buffer_size': 2000, 'global_batch_id': 41}
2026-01-28 04:19:21,821 | INFO | Run finished. total={'wall_sec': 1.3089849948883057, 'cpu_sec': 1.28125, 'cpu_pct': 97.8811831306995, 'rss_mb': None} peak_rss_mb=None
