2026-01-28 04:22:46,691 | INFO | Run started: run_id=BE_temporary__retrain_p1_all_seen_fit__042246
2026-01-28 04:22:46,691 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260128_042245__domain_temporary\runs\BE_temporary__retrain_p1_all_seen_fit__042246
2026-01-28 04:22:47,017 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.050998687744140625 cpu=0.046875 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 0.9432, 'pre_f1_macro': 0.846040686892728}
2026-01-28 04:22:47,074 | INFO | EVENT retrain_fit batch_id=6 reason=periodic train_n=3000 wall=0.04668164253234863 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 1, 'buffer_size': 3000, 'global_batch_id': 6}
2026-01-28 04:22:47,149 | INFO | EVENT retrain_fit batch_id=7 reason=periodic train_n=3500 wall=0.04939866065979004 cpu=0.0625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 2, 'buffer_size': 3500, 'global_batch_id': 7}
2026-01-28 04:22:47,222 | INFO | EVENT retrain_fit batch_id=8 reason=periodic train_n=4000 wall=0.05643749237060547 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 3, 'buffer_size': 4000, 'global_batch_id': 8}
2026-01-28 04:22:47,312 | INFO | EVENT retrain_fit batch_id=9 reason=periodic train_n=4500 wall=0.0675196647644043 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 4, 'buffer_size': 4500, 'global_batch_id': 9}
2026-01-28 04:22:47,397 | INFO | EVENT retrain_fit batch_id=10 reason=periodic train_n=5000 wall=0.07195329666137695 cpu=0.0625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 5, 'buffer_size': 5000, 'global_batch_id': 10}
2026-01-28 04:22:47,481 | INFO | EVENT retrain_fit batch_id=11 reason=periodic train_n=5500 wall=0.07054591178894043 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 6, 'buffer_size': 5500, 'global_batch_id': 11}
2026-01-28 04:22:47,585 | INFO | EVENT retrain_fit batch_id=12 reason=periodic train_n=6000 wall=0.08371162414550781 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 7, 'buffer_size': 6000, 'global_batch_id': 12}
2026-01-28 04:22:47,691 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=6500 wall=0.0925590991973877 cpu=0.109375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 8, 'buffer_size': 6500, 'global_batch_id': 13}
2026-01-28 04:22:47,814 | INFO | EVENT retrain_fit batch_id=14 reason=periodic train_n=7000 wall=0.10416769981384277 cpu=0.109375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 9, 'buffer_size': 7000, 'global_batch_id': 14}
2026-01-28 04:22:47,932 | INFO | EVENT retrain_fit batch_id=15 reason=periodic train_n=7500 wall=0.11028623580932617 cpu=0.109375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 10, 'buffer_size': 7500, 'global_batch_id': 15}
2026-01-28 04:22:48,051 | INFO | EVENT retrain_fit batch_id=16 reason=periodic train_n=8000 wall=0.10899996757507324 cpu=0.109375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 11, 'buffer_size': 8000, 'global_batch_id': 16}
2026-01-28 04:22:48,174 | INFO | EVENT retrain_fit batch_id=17 reason=periodic train_n=8500 wall=0.1139986515045166 cpu=0.109375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 12, 'buffer_size': 8500, 'global_batch_id': 17}
2026-01-28 04:22:48,301 | INFO | EVENT retrain_fit batch_id=18 reason=periodic train_n=9000 wall=0.11799979209899902 cpu=0.125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 13, 'buffer_size': 9000, 'global_batch_id': 18}
