2026-01-27 14:02:36,774 | INFO | Run started: run_id=huffpost_years__retrain_p1_all_seen_fit__140236
2026-01-27 14:02:36,774 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260127_140236__huffpost_lr_gradual\runs\huffpost_years__retrain_p1_all_seen_fit__140236
2026-01-27 14:02:37,096 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=3000 wall=0.24800491333007812 cpu=0.234375 rss_mb=None info={'pretrain_batches': 6, 'pre_acc': 0.753, 'pre_f1_macro': 0.6370529510082109}
2026-01-27 14:02:37,344 | INFO | EVENT retrain_fit batch_id=7 reason=periodic train_n=3500 wall=0.24140501022338867 cpu=0.25 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 1, 'buffer_size': 3500, 'global_batch_id': 7}
2026-01-27 14:02:37,658 | INFO | EVENT retrain_fit batch_id=8 reason=periodic train_n=4000 wall=0.3060116767883301 cpu=0.296875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 2, 'buffer_size': 4000, 'global_batch_id': 8}
2026-01-27 14:02:37,945 | INFO | EVENT retrain_fit batch_id=9 reason=periodic train_n=4500 wall=0.28000617027282715 cpu=0.28125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 3, 'buffer_size': 4500, 'global_batch_id': 9}
2026-01-27 14:02:38,299 | INFO | EVENT retrain_fit batch_id=10 reason=periodic train_n=5000 wall=0.34700727462768555 cpu=0.34375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 4, 'buffer_size': 5000, 'global_batch_id': 10}
2026-01-27 14:02:38,654 | INFO | EVENT retrain_fit batch_id=11 reason=periodic train_n=5500 wall=0.34700798988342285 cpu=0.359375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 5, 'buffer_size': 5500, 'global_batch_id': 11}
2026-01-27 14:02:39,029 | INFO | EVENT retrain_fit batch_id=12 reason=periodic train_n=6000 wall=0.3682997226715088 cpu=0.3125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 6, 'buffer_size': 6000, 'global_batch_id': 12}
2026-01-27 14:02:39,395 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=6500 wall=0.35811877250671387 cpu=0.34375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 7, 'buffer_size': 6500, 'global_batch_id': 13}
2026-01-27 14:02:39,792 | INFO | EVENT retrain_fit batch_id=14 reason=periodic train_n=7000 wall=0.3963911533355713 cpu=0.375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 8, 'buffer_size': 7000, 'global_batch_id': 14}
2026-01-27 14:02:40,234 | INFO | EVENT retrain_fit batch_id=15 reason=periodic train_n=7500 wall=0.4353635311126709 cpu=0.4375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 9, 'buffer_size': 7500, 'global_batch_id': 15}
2026-01-27 14:02:40,685 | INFO | EVENT retrain_fit batch_id=16 reason=periodic train_n=8000 wall=0.44263696670532227 cpu=0.453125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 10, 'buffer_size': 8000, 'global_batch_id': 16}
2026-01-27 14:02:41,112 | INFO | EVENT retrain_fit batch_id=17 reason=periodic train_n=8500 wall=0.41884708404541016 cpu=0.421875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 11, 'buffer_size': 8500, 'global_batch_id': 17}
2026-01-27 14:02:41,601 | INFO | EVENT retrain_fit batch_id=18 reason=periodic train_n=9000 wall=0.4830136299133301 cpu=0.46875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 12, 'buffer_size': 9000, 'global_batch_id': 18}
2026-01-27 14:02:42,092 | INFO | EVENT retrain_fit batch_id=19 reason=periodic train_n=9500 wall=0.48406982421875 cpu=0.46875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 13, 'buffer_size': 9500, 'global_batch_id': 19}
2026-01-27 14:02:42,614 | INFO | EVENT retrain_fit batch_id=20 reason=periodic train_n=10000 wall=0.5061721801757812 cpu=0.5 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 14, 'buffer_size': 10000, 'global_batch_id': 20}
2026-01-27 14:02:43,160 | INFO | EVENT retrain_fit batch_id=21 reason=periodic train_n=10500 wall=0.5364811420440674 cpu=0.53125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 15, 'buffer_size': 10500, 'global_batch_id': 21}
2026-01-27 14:02:43,736 | INFO | EVENT retrain_fit batch_id=22 reason=periodic train_n=11000 wall=0.564363956451416 cpu=0.5625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 16, 'buffer_size': 11000, 'global_batch_id': 22}
2026-01-27 14:02:44,351 | INFO | EVENT retrain_fit batch_id=23 reason=periodic train_n=11500 wall=0.6065413951873779 cpu=0.609375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 17, 'buffer_size': 11500, 'global_batch_id': 23}
2026-01-27 14:02:45,100 | INFO | EVENT retrain_fit batch_id=24 reason=periodic train_n=12000 wall=0.7423343658447266 cpu=0.734375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 18, 'buffer_size': 12000, 'global_batch_id': 24}
2026-01-27 14:02:45,956 | INFO | EVENT retrain_fit batch_id=25 reason=periodic train_n=12500 wall=0.8459768295288086 cpu=0.828125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 19, 'buffer_size': 12500, 'global_batch_id': 25}
2026-01-27 14:02:46,607 | INFO | EVENT retrain_fit batch_id=26 reason=periodic train_n=13000 wall=0.6429545879364014 cpu=0.65625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 20, 'buffer_size': 13000, 'global_batch_id': 26}
2026-01-27 14:02:47,381 | INFO | EVENT retrain_fit batch_id=27 reason=periodic train_n=13500 wall=0.7657194137573242 cpu=0.75 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 21, 'buffer_size': 13500, 'global_batch_id': 27}
2026-01-27 14:02:48,167 | INFO | EVENT retrain_fit batch_id=28 reason=periodic train_n=14000 wall=0.77494215965271 cpu=0.734375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 22, 'buffer_size': 14000, 'global_batch_id': 28}
2026-01-27 14:02:48,867 | INFO | EVENT retrain_fit batch_id=29 reason=periodic train_n=14500 wall=0.6925852298736572 cpu=0.6875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 23, 'buffer_size': 14500, 'global_batch_id': 29}
2026-01-27 14:02:49,782 | INFO | EVENT retrain_fit batch_id=30 reason=periodic train_n=15000 wall=0.9078526496887207 cpu=0.859375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 24, 'buffer_size': 15000, 'global_batch_id': 30}
2026-01-27 14:02:50,595 | INFO | EVENT retrain_fit batch_id=31 reason=periodic train_n=15500 wall=0.8043243885040283 cpu=0.8125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 25, 'buffer_size': 15500, 'global_batch_id': 31}
2026-01-27 14:02:51,458 | INFO | EVENT retrain_fit batch_id=32 reason=periodic train_n=16000 wall=0.8552629947662354 cpu=0.859375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 26, 'buffer_size': 16000, 'global_batch_id': 32}
2026-01-27 14:02:52,279 | INFO | EVENT retrain_fit batch_id=33 reason=periodic train_n=16500 wall=0.8133218288421631 cpu=0.8125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 27, 'buffer_size': 16500, 'global_batch_id': 33}
2026-01-27 14:02:53,190 | INFO | EVENT retrain_fit batch_id=34 reason=periodic train_n=17000 wall=0.9043197631835938 cpu=0.90625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 28, 'buffer_size': 17000, 'global_batch_id': 34}
2026-01-27 14:02:54,143 | INFO | EVENT retrain_fit batch_id=35 reason=periodic train_n=17500 wall=0.9438085556030273 cpu=0.953125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 29, 'buffer_size': 17500, 'global_batch_id': 35}
2026-01-27 14:02:55,069 | INFO | EVENT retrain_fit batch_id=36 reason=periodic train_n=18000 wall=0.911677360534668 cpu=0.921875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 30, 'buffer_size': 18000, 'global_batch_id': 36}
2026-01-27 14:02:56,027 | INFO | EVENT retrain_fit batch_id=37 reason=periodic train_n=18500 wall=0.9446251392364502 cpu=0.9375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 31, 'buffer_size': 18500, 'global_batch_id': 37}
2026-01-27 14:02:56,922 | INFO | EVENT retrain_fit batch_id=38 reason=periodic train_n=19000 wall=0.8861937522888184 cpu=0.890625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 32, 'buffer_size': 19000, 'global_batch_id': 38}
2026-01-27 14:02:57,900 | INFO | EVENT retrain_fit batch_id=39 reason=periodic train_n=19500 wall=0.9706780910491943 cpu=0.96875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 33, 'buffer_size': 19500, 'global_batch_id': 39}
2026-01-27 14:02:58,969 | INFO | EVENT retrain_fit batch_id=40 reason=periodic train_n=20000 wall=1.060175895690918 cpu=1.0625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 34, 'buffer_size': 20000, 'global_batch_id': 40}
2026-01-27 14:03:00,041 | INFO | EVENT retrain_fit batch_id=41 reason=periodic train_n=20500 wall=1.0572845935821533 cpu=1.0625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 35, 'buffer_size': 20500, 'global_batch_id': 41}
2026-01-27 14:03:01,277 | INFO | EVENT retrain_fit batch_id=42 reason=periodic train_n=21000 wall=1.229254961013794 cpu=1.21875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 36, 'buffer_size': 21000, 'global_batch_id': 42}
2026-01-27 14:03:01,277 | INFO | Run finished. total={'wall_sec': 24.503567934036255, 'cpu_sec': 24.25, 'cpu_pct': 98.96517954153101, 'rss_mb': None} peak_rss_mb=None
