2026-01-27 14:04:29,948 | INFO | EVENT retrain_fit batch_id=29 reason=periodic train_n=14500 wall=0.11835098266601562 cpu=0.109375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 23, 'buffer_size': 14500, 'global_batch_id': 29}
2026-01-27 14:04:30,073 | INFO | EVENT retrain_fit batch_id=30 reason=periodic train_n=15000 wall=0.11937999725341797 cpu=0.125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 24, 'buffer_size': 15000, 'global_batch_id': 30}
2026-01-27 14:04:30,212 | INFO | EVENT retrain_fit batch_id=31 reason=periodic train_n=15500 wall=0.1247861385345459 cpu=0.125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 25, 'buffer_size': 15500, 'global_batch_id': 31}
2026-01-27 14:04:30,348 | INFO | EVENT retrain_fit batch_id=32 reason=periodic train_n=16000 wall=0.12881922721862793 cpu=0.125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 26, 'buffer_size': 16000, 'global_batch_id': 32}
2026-01-27 14:04:30,491 | INFO | EVENT retrain_fit batch_id=33 reason=periodic train_n=16500 wall=0.13345599174499512 cpu=0.140625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 27, 'buffer_size': 16500, 'global_batch_id': 33}
2026-01-27 14:04:30,635 | INFO | EVENT retrain_fit batch_id=34 reason=periodic train_n=17000 wall=0.13642430305480957 cpu=0.125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 28, 'buffer_size': 17000, 'global_batch_id': 34}
2026-01-27 14:04:30,784 | INFO | EVENT retrain_fit batch_id=35 reason=periodic train_n=17500 wall=0.14200282096862793 cpu=0.140625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 29, 'buffer_size': 17500, 'global_batch_id': 35}
2026-01-27 14:04:30,938 | INFO | EVENT retrain_fit batch_id=36 reason=periodic train_n=18000 wall=0.14684247970581055 cpu=0.15625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 30, 'buffer_size': 18000, 'global_batch_id': 36}
2026-01-27 14:04:31,100 | INFO | EVENT retrain_fit batch_id=37 reason=periodic train_n=18500 wall=0.15644168853759766 cpu=0.15625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 31, 'buffer_size': 18500, 'global_batch_id': 37}
2026-01-27 14:04:31,261 | INFO | EVENT retrain_fit batch_id=38 reason=periodic train_n=19000 wall=0.15400266647338867 cpu=0.15625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 32, 'buffer_size': 19000, 'global_batch_id': 38}
2026-01-27 14:04:31,413 | INFO | EVENT retrain_fit batch_id=39 reason=periodic train_n=19500 wall=0.14524531364440918 cpu=0.15625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 33, 'buffer_size': 19500, 'global_batch_id': 39}
2026-01-27 14:04:31,582 | INFO | EVENT retrain_fit batch_id=40 reason=periodic train_n=20000 wall=0.14938712120056152 cpu=0.171875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 34, 'buffer_size': 20000, 'global_batch_id': 40}
2026-01-27 14:04:31,770 | INFO | EVENT retrain_fit batch_id=41 reason=periodic train_n=20500 wall=0.16812872886657715 cpu=0.171875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 35, 'buffer_size': 20500, 'global_batch_id': 41}
2026-01-27 14:04:31,958 | INFO | EVENT retrain_fit batch_id=42 reason=periodic train_n=21000 wall=0.18123865127563477 cpu=0.1875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 36, 'buffer_size': 21000, 'global_batch_id': 42}
2026-01-27 14:04:31,958 | INFO | Run finished. total={'wall_sec': 3.995701313018799, 'cpu_sec': 3.984375, 'cpu_pct': 99.71653754543925, 'rss_mb': None} peak_rss_mb=None
