2026-01-28 04:08:07,166 | INFO | Run started: run_id=BE_sudden__retrain_p1_last_window_wb1_fit__040807
2026-01-28 04:08:07,166 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260128_040749__domain_sudden_nb\runs\BE_sudden__retrain_p1_last_window_wb1_fit__040807
2026-01-28 04:08:07,468 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.039999961853027344 cpu=0.03125 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 0.9432, 'pre_f1_macro': 0.846040686892728}
2026-01-28 04:08:07,488 | INFO | EVENT retrain_fit batch_id=6 reason=periodic train_n=500 wall=0.009002447128295898 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 1, 'buffer_size': 500, 'global_batch_id': 6}
2026-01-28 04:08:07,517 | INFO | EVENT retrain_fit batch_id=7 reason=periodic train_n=500 wall=0.009002685546875 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 2, 'buffer_size': 500, 'global_batch_id': 7}
2026-01-28 04:08:07,539 | INFO | EVENT retrain_fit batch_id=8 reason=periodic train_n=500 wall=0.0070037841796875 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 3, 'buffer_size': 500, 'global_batch_id': 8}
2026-01-28 04:08:07,558 | INFO | EVENT retrain_fit batch_id=9 reason=periodic train_n=500 wall=0.007999181747436523 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 4, 'buffer_size': 500, 'global_batch_id': 9}
2026-01-28 04:08:07,576 | INFO | EVENT retrain_fit batch_id=10 reason=periodic train_n=500 wall=0.007999897003173828 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 5, 'buffer_size': 500, 'global_batch_id': 10}
2026-01-28 04:08:07,595 | INFO | EVENT retrain_fit batch_id=11 reason=periodic train_n=500 wall=0.008003950119018555 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 6, 'buffer_size': 500, 'global_batch_id': 11}
2026-01-28 04:08:07,616 | INFO | EVENT retrain_fit batch_id=12 reason=periodic train_n=500 wall=0.009000062942504883 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 7, 'buffer_size': 500, 'global_batch_id': 12}
2026-01-28 04:08:07,634 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=500 wall=0.007998228073120117 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 8, 'buffer_size': 500, 'global_batch_id': 13}
2026-01-28 04:08:07,654 | INFO | EVENT retrain_fit batch_id=14 reason=periodic train_n=500 wall=0.008000612258911133 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 9, 'buffer_size': 500, 'global_batch_id': 14}
2026-01-28 04:08:07,674 | INFO | EVENT retrain_fit batch_id=15 reason=periodic train_n=500 wall=0.009002923965454102 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 10, 'buffer_size': 500, 'global_batch_id': 15}
2026-01-28 04:08:07,688 | INFO | EVENT retrain_fit batch_id=16 reason=periodic train_n=500 wall=0.00600123405456543 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 11, 'buffer_size': 500, 'global_batch_id': 16}
2026-01-28 04:08:07,703 | INFO | EVENT retrain_fit batch_id=17 reason=periodic train_n=500 wall=0.006003141403198242 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 12, 'buffer_size': 500, 'global_batch_id': 17}
2026-01-28 04:08:07,716 | INFO | EVENT retrain_fit batch_id=18 reason=periodic train_n=500 wall=0.0050008296966552734 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 13, 'buffer_size': 500, 'global_batch_id': 18}
2026-01-28 04:08:07,731 | INFO | EVENT retrain_fit batch_id=19 reason=periodic train_n=500 wall=0.00599980354309082 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 14, 'buffer_size': 500, 'global_batch_id': 19}
2026-01-28 04:08:07,746 | INFO | EVENT retrain_fit batch_id=20 reason=periodic train_n=500 wall=0.005999326705932617 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 15, 'buffer_size': 500, 'global_batch_id': 20}
2026-01-28 04:08:07,761 | INFO | EVENT retrain_fit batch_id=21 reason=periodic train_n=500 wall=0.006001710891723633 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 16, 'buffer_size': 500, 'global_batch_id': 21}
2026-01-28 04:08:07,775 | INFO | EVENT retrain_fit batch_id=22 reason=periodic train_n=500 wall=0.0059986114501953125 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 17, 'buffer_size': 500, 'global_batch_id': 22}
2026-01-28 04:08:07,789 | INFO | EVENT retrain_fit batch_id=23 reason=periodic train_n=500 wall=0.005998134613037109 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 18, 'buffer_size': 500, 'global_batch_id': 23}
2026-01-28 04:08:07,803 | INFO | EVENT retrain_fit batch_id=24 reason=periodic train_n=500 wall=0.004998445510864258 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 19, 'buffer_size': 500, 'global_batch_id': 24}
2026-01-28 04:08:07,819 | INFO | EVENT retrain_fit batch_id=25 reason=periodic train_n=500 wall=0.005997896194458008 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 20, 'buffer_size': 500, 'global_batch_id': 25}
2026-01-28 04:08:07,833 | INFO | EVENT retrain_fit batch_id=26 reason=periodic train_n=500 wall=0.0049974918365478516 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 21, 'buffer_size': 500, 'global_batch_id': 26}
2026-01-28 04:08:07,848 | INFO | EVENT retrain_fit batch_id=27 reason=periodic train_n=500 wall=0.006001949310302734 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 22, 'buffer_size': 500, 'global_batch_id': 27}
2026-01-28 04:08:07,871 | INFO | EVENT retrain_fit batch_id=28 reason=periodic train_n=500 wall=0.006997108459472656 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 23, 'buffer_size': 500, 'global_batch_id': 28}
2026-01-28 04:08:07,887 | INFO | EVENT retrain_fit batch_id=29 reason=periodic train_n=500 wall=0.00600123405456543 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 24, 'buffer_size': 500, 'global_batch_id': 29}
2026-01-28 04:08:07,902 | INFO | EVENT retrain_fit batch_id=30 reason=periodic train_n=500 wall=0.006001472473144531 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 25, 'buffer_size': 500, 'global_batch_id': 30}
