2026-01-29 01:41:55,312 | INFO | Run started: run_id=label_temporary__retrain_p2_last_window_wb2_update__014155
2026-01-29 01:41:55,312 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260129_013948__label_temporary_nb\runs\label_temporary__retrain_p2_last_window_wb2_update__014155
2026-01-29 01:41:56,505 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.22357797622680664 cpu=0.21875 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 0.98, 'pre_f1_macro': 0.9470611752588496}
2026-01-29 01:41:56,700 | INFO | EVENT retrain_update batch_id=7 reason=periodic train_n=1000 wall=0.09087324142456055 cpu=0.078125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 2, 'buffer_size': 1000, 'global_batch_id': 7}
2026-01-29 01:41:56,894 | INFO | EVENT retrain_update batch_id=9 reason=periodic train_n=1000 wall=0.09270334243774414 cpu=0.09375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 4, 'buffer_size': 1000, 'global_batch_id': 9}
2026-01-29 01:41:57,084 | INFO | EVENT retrain_update batch_id=11 reason=periodic train_n=1000 wall=0.08903884887695312 cpu=0.09375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 6, 'buffer_size': 1000, 'global_batch_id': 11}
2026-01-29 01:41:57,273 | INFO | EVENT retrain_update batch_id=13 reason=periodic train_n=1000 wall=0.09048652648925781 cpu=0.09375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 8, 'buffer_size': 1000, 'global_batch_id': 13}
2026-01-29 01:41:57,531 | INFO | EVENT retrain_update batch_id=15 reason=periodic train_n=1000 wall=0.12284588813781738 cpu=0.125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 10, 'buffer_size': 1000, 'global_batch_id': 15}
2026-01-29 01:41:57,711 | INFO | EVENT retrain_update batch_id=17 reason=periodic train_n=1000 wall=0.08486127853393555 cpu=0.078125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 12, 'buffer_size': 1000, 'global_batch_id': 17}
2026-01-29 01:41:57,866 | INFO | EVENT retrain_update batch_id=19 reason=periodic train_n=1000 wall=0.07279253005981445 cpu=0.078125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 14, 'buffer_size': 1000, 'global_batch_id': 19}
2026-01-29 01:41:58,028 | INFO | EVENT retrain_update batch_id=21 reason=periodic train_n=1000 wall=0.07607078552246094 cpu=0.0625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 16, 'buffer_size': 1000, 'global_batch_id': 21}
2026-01-29 01:41:58,223 | INFO | EVENT retrain_update batch_id=23 reason=periodic train_n=1000 wall=0.09183454513549805 cpu=0.09375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 18, 'buffer_size': 1000, 'global_batch_id': 23}
2026-01-29 01:41:58,406 | INFO | EVENT retrain_update batch_id=25 reason=periodic train_n=1000 wall=0.08455681800842285 cpu=0.09375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 20, 'buffer_size': 1000, 'global_batch_id': 25}
2026-01-29 01:41:58,582 | INFO | EVENT retrain_update batch_id=27 reason=periodic train_n=1000 wall=0.08375668525695801 cpu=0.09375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 22, 'buffer_size': 1000, 'global_batch_id': 27}
2026-01-29 01:41:58,756 | INFO | EVENT retrain_update batch_id=29 reason=periodic train_n=1000 wall=0.08306145668029785 cpu=0.078125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 24, 'buffer_size': 1000, 'global_batch_id': 29}
2026-01-29 01:41:58,943 | INFO | EVENT retrain_update batch_id=31 reason=periodic train_n=1000 wall=0.08876276016235352 cpu=0.09375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 26, 'buffer_size': 1000, 'global_batch_id': 31}
2026-01-29 01:41:59,151 | INFO | EVENT retrain_update batch_id=33 reason=periodic train_n=1000 wall=0.09467697143554688 cpu=0.09375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 28, 'buffer_size': 1000, 'global_batch_id': 33}
2026-01-29 01:41:59,354 | INFO | EVENT retrain_update batch_id=35 reason=periodic train_n=1000 wall=0.10208940505981445 cpu=0.09375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 30, 'buffer_size': 1000, 'global_batch_id': 35}
2026-01-29 01:41:59,554 | INFO | EVENT retrain_update batch_id=37 reason=periodic train_n=1000 wall=0.09056854248046875 cpu=0.09375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 32, 'buffer_size': 1000, 'global_batch_id': 37}
2026-01-29 01:41:59,745 | INFO | EVENT retrain_update batch_id=39 reason=periodic train_n=1000 wall=0.09103608131408691 cpu=0.078125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 34, 'buffer_size': 1000, 'global_batch_id': 39}
2026-01-29 01:41:59,930 | INFO | EVENT retrain_update batch_id=41 reason=periodic train_n=1000 wall=0.08808088302612305 cpu=0.078125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 36, 'buffer_size': 1000, 'global_batch_id': 41}
2026-01-29 01:42:00,119 | INFO | EVENT retrain_update batch_id=43 reason=periodic train_n=1000 wall=0.08997869491577148 cpu=0.078125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 38, 'buffer_size': 1000, 'global_batch_id': 43}
2026-01-29 01:42:00,295 | INFO | EVENT retrain_update batch_id=45 reason=periodic train_n=1000 wall=0.08600306510925293 cpu=0.09375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 40, 'buffer_size': 1000, 'global_batch_id': 45}
2026-01-29 01:42:00,295 | INFO | Run finished. total={'wall_sec': 4.9822468757629395, 'cpu_sec': 4.96875, 'cpu_pct': 99.72910062268096, 'rss_mb': None} peak_rss_mb=None
