ts,run_id,event_type,batch_id,reason,train_n,info,wall_fit_sec,cpu_fit_sec,cpu_fit_pct,rss_mb
2026-01-28 04:12:55,BE_gradual__retrain_p1_last_window_wb1_update__041255,pretrain_fit,,pretrain,2500,"{""pretrain_batches"": 5, ""pre_acc"": 0.9452, ""pre_f1_macro"": 0.7665352674892351}",0.04000115394592285,0.03125,78.12274626438665,
2026-01-28 04:12:55,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,6,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 1, ""buffer_size"": 500, ""global_batch_id"": 6}",0.007999420166015625,0.0,0.0,
2026-01-28 04:12:55,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,7,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 2, ""buffer_size"": 500, ""global_batch_id"": 7}",0.009002923965454102,0.0,0.0,
2026-01-28 04:12:55,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,8,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 3, ""buffer_size"": 500, ""global_batch_id"": 8}",0.007077217102050781,0.0,0.0,
2026-01-28 04:12:55,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,9,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 4, ""buffer_size"": 500, ""global_batch_id"": 9}",0.007999658584594727,0.015625,195.32083569278456,
2026-01-28 04:12:55,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,10,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 5, ""buffer_size"": 500, ""global_batch_id"": 10}",0.007999897003173828,0.015625,195.31501460332598,
2026-01-28 04:12:55,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,11,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 6, ""buffer_size"": 500, ""global_batch_id"": 11}",0.008162498474121094,0.015625,191.4242318027807,
2026-01-28 04:12:55,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,12,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 7, ""buffer_size"": 500, ""global_batch_id"": 12}",0.007999420166015625,0.0,0.0,
2026-01-28 04:12:55,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,13,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 8, ""buffer_size"": 500, ""global_batch_id"": 13}",0.006998777389526367,0.0,0.0,
2026-01-28 04:12:56,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,14,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 9, ""buffer_size"": 500, ""global_batch_id"": 14}",0.007085323333740234,0.015625,220.52628036880003,
2026-01-28 04:12:56,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,15,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 10, ""buffer_size"": 500, ""global_batch_id"": 15}",0.009002447128295898,0.015625,173.56391853597816,
2026-01-28 04:12:56,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,16,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 11, ""buffer_size"": 500, ""global_batch_id"": 16}",0.008002042770385742,0.0,0.0,
2026-01-28 04:12:56,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,17,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 12, ""buffer_size"": 500, ""global_batch_id"": 17}",0.007999658584594727,0.0,0.0,
2026-01-28 04:12:56,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,18,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 13, ""buffer_size"": 500, ""global_batch_id"": 18}",0.0070018768310546875,0.015625,223.15445382729501,
2026-01-28 04:12:56,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,19,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 14, ""buffer_size"": 500, ""global_batch_id"": 19}",0.007999897003173828,0.015625,195.31501460332598,
2026-01-28 04:12:56,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,20,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 15, ""buffer_size"": 500, ""global_batch_id"": 20}",0.008002758026123047,0.0,0.0,
2026-01-28 04:12:56,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,21,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 16, ""buffer_size"": 500, ""global_batch_id"": 21}",0.00799870491027832,0.0,0.0,
2026-01-28 04:12:56,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,22,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 17, ""buffer_size"": 500, ""global_batch_id"": 22}",0.0069997310638427734,0.0,0.0,
2026-01-28 04:12:56,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,23,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 18, ""buffer_size"": 500, ""global_batch_id"": 23}",0.008000850677490234,0.015625,195.2917337147625,
2026-01-28 04:12:56,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,24,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 19, ""buffer_size"": 500, ""global_batch_id"": 24}",0.008002519607543945,0.015625,195.25100551169373,
2026-01-28 04:12:56,BE_gradual__retrain_p1_last_window_wb1_update__041255,retrain_update,25,periodic,500,"{""period_batches"": 1, ""stream_batches_seen"": 20, ""buffer_size"": 500, ""global_batch_id"": 25}",0.0070002079010009766,0.015625,223.20765641497223,
