2026-01-28 04:23:06,671 | INFO | Run started: run_id=BE_temporary__retrain_p2_last_window_wb2_update__042306
2026-01-28 04:23:06,671 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260128_042245__domain_temporary\runs\BE_temporary__retrain_p2_last_window_wb2_update__042306
2026-01-28 04:23:07,043 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.060001373291015625 cpu=0.0625 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 0.9432, 'pre_f1_macro': 0.846040686892728}
2026-01-28 04:23:07,105 | INFO | EVENT retrain_update batch_id=7 reason=periodic train_n=1000 wall=0.024998903274536133 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 2, 'buffer_size': 1000, 'global_batch_id': 7}
2026-01-28 04:23:07,161 | INFO | EVENT retrain_update batch_id=9 reason=periodic train_n=1000 wall=0.023999452590942383 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 4, 'buffer_size': 1000, 'global_batch_id': 9}
2026-01-28 04:23:07,216 | INFO | EVENT retrain_update batch_id=11 reason=periodic train_n=1000 wall=0.022999286651611328 cpu=0.03125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 6, 'buffer_size': 1000, 'global_batch_id': 11}
2026-01-28 04:23:07,266 | INFO | EVENT retrain_update batch_id=13 reason=periodic train_n=1000 wall=0.019999980926513672 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 8, 'buffer_size': 1000, 'global_batch_id': 13}
2026-01-28 04:23:07,308 | INFO | EVENT retrain_update batch_id=15 reason=periodic train_n=1000 wall=0.017999649047851562 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 10, 'buffer_size': 1000, 'global_batch_id': 15}
2026-01-28 04:23:07,353 | INFO | EVENT retrain_update batch_id=17 reason=periodic train_n=1000 wall=0.017996549606323242 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 12, 'buffer_size': 1000, 'global_batch_id': 17}
2026-01-28 04:23:07,393 | INFO | EVENT retrain_update batch_id=19 reason=periodic train_n=1000 wall=0.015492677688598633 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 14, 'buffer_size': 1000, 'global_batch_id': 19}
2026-01-28 04:23:07,428 | INFO | EVENT retrain_update batch_id=21 reason=periodic train_n=1000 wall=0.011779308319091797 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 16, 'buffer_size': 1000, 'global_batch_id': 21}
2026-01-28 04:23:07,471 | INFO | EVENT retrain_update batch_id=23 reason=periodic train_n=1000 wall=0.015158653259277344 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 18, 'buffer_size': 1000, 'global_batch_id': 23}
2026-01-28 04:23:07,519 | INFO | EVENT retrain_update batch_id=25 reason=periodic train_n=1000 wall=0.021199941635131836 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 20, 'buffer_size': 1000, 'global_batch_id': 25}
2026-01-28 04:23:07,574 | INFO | EVENT retrain_update batch_id=27 reason=periodic train_n=1000 wall=0.02061152458190918 cpu=0.03125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 22, 'buffer_size': 1000, 'global_batch_id': 27}
2026-01-28 04:23:07,636 | INFO | EVENT retrain_update batch_id=29 reason=periodic train_n=1000 wall=0.02593541145324707 cpu=0.03125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 24, 'buffer_size': 1000, 'global_batch_id': 29}
2026-01-28 04:23:07,692 | INFO | EVENT retrain_update batch_id=31 reason=periodic train_n=1000 wall=0.022793292999267578 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 26, 'buffer_size': 1000, 'global_batch_id': 31}
2026-01-28 04:23:07,748 | INFO | EVENT retrain_update batch_id=33 reason=periodic train_n=1000 wall=0.02100515365600586 cpu=0.03125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 28, 'buffer_size': 1000, 'global_batch_id': 33}
2026-01-28 04:23:07,801 | INFO | EVENT retrain_update batch_id=35 reason=periodic train_n=1000 wall=0.020999431610107422 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 30, 'buffer_size': 1000, 'global_batch_id': 35}
2026-01-28 04:23:07,859 | INFO | EVENT retrain_update batch_id=37 reason=periodic train_n=1000 wall=0.02499985694885254 cpu=0.03125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 32, 'buffer_size': 1000, 'global_batch_id': 37}
2026-01-28 04:23:07,913 | INFO | EVENT retrain_update batch_id=39 reason=periodic train_n=1000 wall=0.02299976348876953 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 34, 'buffer_size': 1000, 'global_batch_id': 39}
2026-01-28 04:23:07,969 | INFO | EVENT retrain_update batch_id=41 reason=periodic train_n=1000 wall=0.021999835968017578 cpu=0.03125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 36, 'buffer_size': 1000, 'global_batch_id': 41}
2026-01-28 04:23:08,024 | INFO | EVENT retrain_update batch_id=43 reason=periodic train_n=1000 wall=0.02299952507019043 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 38, 'buffer_size': 1000, 'global_batch_id': 43}
2026-01-28 04:23:08,040 | INFO | Run finished. total={'wall_sec': 1.3689649105072021, 'cpu_sec': 1.34375, 'cpu_pct': 98.15810395769311, 'rss_mb': None} peak_rss_mb=None
