2026-01-28 04:07:57,934 | INFO | Run started: run_id=BE_sudden__retrain_p2_all_seen_fit__040757
2026-01-28 04:07:57,934 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260128_040749__domain_sudden_nb\runs\BE_sudden__retrain_p2_all_seen_fit__040757
2026-01-28 04:07:58,235 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.04100155830383301 cpu=0.03125 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 0.9432, 'pre_f1_macro': 0.846040686892728}
2026-01-28 04:07:58,311 | INFO | EVENT retrain_fit batch_id=7 reason=periodic train_n=3500 wall=0.05300021171569824 cpu=0.0625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 2, 'buffer_size': 3500, 'global_batch_id': 7}
2026-01-28 04:07:58,414 | INFO | EVENT retrain_fit batch_id=9 reason=periodic train_n=4500 wall=0.07200217247009277 cpu=0.0625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 4, 'buffer_size': 4500, 'global_batch_id': 9}
2026-01-28 04:07:58,521 | INFO | EVENT retrain_fit batch_id=11 reason=periodic train_n=5500 wall=0.08300089836120605 cpu=0.078125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 6, 'buffer_size': 5500, 'global_batch_id': 11}
2026-01-28 04:07:58,638 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=6500 wall=0.09499573707580566 cpu=0.09375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 8, 'buffer_size': 6500, 'global_batch_id': 13}
2026-01-28 04:07:58,779 | INFO | EVENT retrain_fit batch_id=15 reason=periodic train_n=7500 wall=0.11499953269958496 cpu=0.125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 10, 'buffer_size': 7500, 'global_batch_id': 15}
2026-01-28 04:07:58,931 | INFO | EVENT retrain_fit batch_id=17 reason=periodic train_n=8500 wall=0.1303389072418213 cpu=0.109375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 12, 'buffer_size': 8500, 'global_batch_id': 17}
2026-01-28 04:07:59,088 | INFO | EVENT retrain_fit batch_id=19 reason=periodic train_n=9500 wall=0.14062905311584473 cpu=0.140625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 14, 'buffer_size': 9500, 'global_batch_id': 19}
2026-01-28 04:07:59,234 | INFO | EVENT retrain_fit batch_id=21 reason=periodic train_n=10500 wall=0.1268632411956787 cpu=0.140625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 16, 'buffer_size': 10500, 'global_batch_id': 21}
2026-01-28 04:07:59,403 | INFO | EVENT retrain_fit batch_id=23 reason=periodic train_n=11500 wall=0.1387791633605957 cpu=0.140625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 18, 'buffer_size': 11500, 'global_batch_id': 23}
2026-01-28 04:07:59,584 | INFO | EVENT retrain_fit batch_id=25 reason=periodic train_n=12500 wall=0.1508781909942627 cpu=0.15625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 20, 'buffer_size': 12500, 'global_batch_id': 25}
2026-01-28 04:07:59,780 | INFO | EVENT retrain_fit batch_id=27 reason=periodic train_n=13500 wall=0.168959379196167 cpu=0.171875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 22, 'buffer_size': 13500, 'global_batch_id': 27}
2026-01-28 04:07:59,992 | INFO | EVENT retrain_fit batch_id=29 reason=periodic train_n=14500 wall=0.19372844696044922 cpu=0.171875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 24, 'buffer_size': 14500, 'global_batch_id': 29}
2026-01-28 04:08:00,201 | INFO | EVENT retrain_fit batch_id=31 reason=periodic train_n=15500 wall=0.19129133224487305 cpu=0.203125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 26, 'buffer_size': 15500, 'global_batch_id': 31}
2026-01-28 04:08:00,424 | INFO | EVENT retrain_fit batch_id=33 reason=periodic train_n=16500 wall=0.20374512672424316 cpu=0.1875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 28, 'buffer_size': 16500, 'global_batch_id': 33}
2026-01-28 04:08:00,646 | INFO | EVENT retrain_fit batch_id=35 reason=periodic train_n=17500 wall=0.2033236026763916 cpu=0.21875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 30, 'buffer_size': 17500, 'global_batch_id': 35}
2026-01-28 04:08:00,889 | INFO | EVENT retrain_fit batch_id=37 reason=periodic train_n=18500 wall=0.21707749366760254 cpu=0.21875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 32, 'buffer_size': 18500, 'global_batch_id': 37}
2026-01-28 04:08:01,163 | INFO | EVENT retrain_fit batch_id=39 reason=periodic train_n=19500 wall=0.2555568218231201 cpu=0.25 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 34, 'buffer_size': 19500, 'global_batch_id': 39}
2026-01-28 04:08:01,420 | INFO | EVENT retrain_fit batch_id=41 reason=periodic train_n=20500 wall=0.2389988899230957 cpu=0.25 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 36, 'buffer_size': 20500, 'global_batch_id': 41}
2026-01-28 04:08:01,689 | INFO | EVENT retrain_fit batch_id=43 reason=periodic train_n=21500 wall=0.25099968910217285 cpu=0.25 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 38, 'buffer_size': 21500, 'global_batch_id': 43}
2026-01-28 04:08:01,990 | INFO | EVENT retrain_fit batch_id=45 reason=periodic train_n=22500 wall=0.2832951545715332 cpu=0.265625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 40, 'buffer_size': 22500, 'global_batch_id': 45}
2026-01-28 04:08:01,991 | INFO | Run finished. total={'wall_sec': 4.057490348815918, 'cpu_sec': 3.9375, 'cpu_pct': 97.04274468943754, 'rss_mb': None} peak_rss_mb=None
