2026-01-27 14:03:26,000 | INFO | Run started: run_id=huffpost_years__retrain_p1_last_window_wb1_fit__140325
2026-01-27 14:03:26,000 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260127_140236__huffpost_lr_gradual\runs\huffpost_years__retrain_p1_last_window_wb1_fit__140325
2026-01-27 14:03:26,296 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=3000 wall=0.22000432014465332 cpu=0.234375 rss_mb=None info={'pretrain_batches': 6, 'pre_acc': 0.753, 'pre_f1_macro': 0.6370529510082109}
2026-01-27 14:03:26,350 | INFO | EVENT retrain_fit batch_id=7 reason=periodic train_n=500 wall=0.047002315521240234 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 1, 'buffer_size': 500, 'global_batch_id': 7}
2026-01-27 14:03:26,446 | INFO | EVENT retrain_fit batch_id=8 reason=periodic train_n=500 wall=0.0800020694732666 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 2, 'buffer_size': 500, 'global_batch_id': 8}
2026-01-27 14:03:26,498 | INFO | EVENT retrain_fit batch_id=9 reason=periodic train_n=500 wall=0.045000314712524414 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 3, 'buffer_size': 500, 'global_batch_id': 9}
2026-01-27 14:03:26,550 | INFO | EVENT retrain_fit batch_id=10 reason=periodic train_n=500 wall=0.04500079154968262 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 4, 'buffer_size': 500, 'global_batch_id': 10}
2026-01-27 14:03:26,631 | INFO | EVENT retrain_fit batch_id=11 reason=periodic train_n=500 wall=0.07399868965148926 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 5, 'buffer_size': 500, 'global_batch_id': 11}
2026-01-27 14:03:26,683 | INFO | EVENT retrain_fit batch_id=12 reason=periodic train_n=500 wall=0.045996904373168945 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 6, 'buffer_size': 500, 'global_batch_id': 12}
2026-01-27 14:03:26,774 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=500 wall=0.08401656150817871 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 7, 'buffer_size': 500, 'global_batch_id': 13}
2026-01-27 14:03:26,827 | INFO | EVENT retrain_fit batch_id=14 reason=periodic train_n=500 wall=0.04700589179992676 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 8, 'buffer_size': 500, 'global_batch_id': 14}
2026-01-27 14:03:26,890 | INFO | EVENT retrain_fit batch_id=15 reason=periodic train_n=500 wall=0.0540010929107666 cpu=0.0625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 9, 'buffer_size': 500, 'global_batch_id': 15}
2026-01-27 14:03:26,994 | INFO | EVENT retrain_fit batch_id=16 reason=periodic train_n=500 wall=0.09700250625610352 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 10, 'buffer_size': 500, 'global_batch_id': 16}
2026-01-27 14:03:27,051 | INFO | EVENT retrain_fit batch_id=17 reason=periodic train_n=500 wall=0.05100083351135254 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 11, 'buffer_size': 500, 'global_batch_id': 17}
2026-01-27 14:03:27,101 | INFO | EVENT retrain_fit batch_id=18 reason=periodic train_n=500 wall=0.04400038719177246 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 12, 'buffer_size': 500, 'global_batch_id': 18}
2026-01-27 14:03:27,180 | INFO | EVENT retrain_fit batch_id=19 reason=periodic train_n=500 wall=0.07300257682800293 cpu=0.0625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 13, 'buffer_size': 500, 'global_batch_id': 19}
2026-01-27 14:03:27,232 | INFO | EVENT retrain_fit batch_id=20 reason=periodic train_n=500 wall=0.0460047721862793 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 14, 'buffer_size': 500, 'global_batch_id': 20}
2026-01-27 14:03:27,315 | INFO | EVENT retrain_fit batch_id=21 reason=periodic train_n=500 wall=0.07700181007385254 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 15, 'buffer_size': 500, 'global_batch_id': 21}
2026-01-27 14:03:27,370 | INFO | EVENT retrain_fit batch_id=22 reason=periodic train_n=500 wall=0.047000885009765625 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 16, 'buffer_size': 500, 'global_batch_id': 22}
2026-01-27 14:03:27,448 | INFO | EVENT retrain_fit batch_id=23 reason=periodic train_n=500 wall=0.07200121879577637 cpu=0.0625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 17, 'buffer_size': 500, 'global_batch_id': 23}
2026-01-27 14:03:27,498 | INFO | EVENT retrain_fit batch_id=24 reason=periodic train_n=500 wall=0.04400157928466797 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 18, 'buffer_size': 500, 'global_batch_id': 24}
2026-01-27 14:03:27,587 | INFO | EVENT retrain_fit batch_id=25 reason=periodic train_n=500 wall=0.0820016860961914 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 19, 'buffer_size': 500, 'global_batch_id': 25}
2026-01-27 14:03:27,642 | INFO | EVENT retrain_fit batch_id=26 reason=periodic train_n=500 wall=0.047132253646850586 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 20, 'buffer_size': 500, 'global_batch_id': 26}
2026-01-27 14:03:27,725 | INFO | EVENT retrain_fit batch_id=27 reason=periodic train_n=500 wall=0.07700467109680176 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 21, 'buffer_size': 500, 'global_batch_id': 27}
2026-01-27 14:03:27,775 | INFO | EVENT retrain_fit batch_id=28 reason=periodic train_n=500 wall=0.04300093650817871 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 22, 'buffer_size': 500, 'global_batch_id': 28}
2026-01-27 14:03:27,873 | INFO | EVENT retrain_fit batch_id=29 reason=periodic train_n=500 wall=0.08300614356994629 cpu=0.09375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 23, 'buffer_size': 500, 'global_batch_id': 29}
2026-01-27 14:03:27,937 | INFO | EVENT retrain_fit batch_id=30 reason=periodic train_n=500 wall=0.05499887466430664 cpu=0.0625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 24, 'buffer_size': 500, 'global_batch_id': 30}
2026-01-27 14:03:28,050 | INFO | EVENT retrain_fit batch_id=31 reason=periodic train_n=500 wall=0.10399889945983887 cpu=0.109375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 25, 'buffer_size': 500, 'global_batch_id': 31}
2026-01-27 14:03:28,118 | INFO | EVENT retrain_fit batch_id=32 reason=periodic train_n=500 wall=0.05800175666809082 cpu=0.0625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 26, 'buffer_size': 500, 'global_batch_id': 32}
2026-01-27 14:03:28,214 | INFO | EVENT retrain_fit batch_id=33 reason=periodic train_n=500 wall=0.09000372886657715 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 27, 'buffer_size': 500, 'global_batch_id': 33}
2026-01-27 14:03:28,276 | INFO | EVENT retrain_fit batch_id=34 reason=periodic train_n=500 wall=0.054999589920043945 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 28, 'buffer_size': 500, 'global_batch_id': 34}
2026-01-27 14:03:28,382 | INFO | EVENT retrain_fit batch_id=35 reason=periodic train_n=500 wall=0.09800195693969727 cpu=0.09375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 29, 'buffer_size': 500, 'global_batch_id': 35}
2026-01-27 14:03:28,455 | INFO | EVENT retrain_fit batch_id=36 reason=periodic train_n=500 wall=0.06565999984741211 cpu=0.0625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 30, 'buffer_size': 500, 'global_batch_id': 36}
2026-01-27 14:03:28,543 | INFO | EVENT retrain_fit batch_id=37 reason=periodic train_n=500 wall=0.08077645301818848 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 31, 'buffer_size': 500, 'global_batch_id': 37}
2026-01-27 14:03:28,607 | INFO | EVENT retrain_fit batch_id=38 reason=periodic train_n=500 wall=0.05658268928527832 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 32, 'buffer_size': 500, 'global_batch_id': 38}
2026-01-27 14:03:28,698 | INFO | EVENT retrain_fit batch_id=39 reason=periodic train_n=500 wall=0.0843961238861084 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 33, 'buffer_size': 500, 'global_batch_id': 39}
2026-01-27 14:03:28,791 | INFO | EVENT retrain_fit batch_id=40 reason=periodic train_n=500 wall=0.08572840690612793 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 34, 'buffer_size': 500, 'global_batch_id': 40}
2026-01-27 14:03:28,847 | INFO | EVENT retrain_fit batch_id=41 reason=periodic train_n=500 wall=0.04755544662475586 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 35, 'buffer_size': 500, 'global_batch_id': 41}
2026-01-27 14:03:28,921 | INFO | EVENT retrain_fit batch_id=42 reason=periodic train_n=500 wall=0.06553888320922852 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 36, 'buffer_size': 500, 'global_batch_id': 42}
2026-01-27 14:03:28,921 | INFO | Run finished. total={'wall_sec': 2.9207048416137695, 'cpu_sec': 2.875, 'cpu_pct': 98.43514342967582, 'rss_mb': None} peak_rss_mb=None
