2026-01-28 04:08:08,884 | INFO | EVENT retrain_update batch_id=29 reason=periodic train_n=500 wall=0.006000041961669922 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 24, 'buffer_size': 500, 'global_batch_id': 29}
2026-01-28 04:08:08,899 | INFO | EVENT retrain_update batch_id=30 reason=periodic train_n=500 wall=0.005998373031616211 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 25, 'buffer_size': 500, 'global_batch_id': 30}
2026-01-28 04:08:08,914 | INFO | EVENT retrain_update batch_id=31 reason=periodic train_n=500 wall=0.0070002079010009766 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 26, 'buffer_size': 500, 'global_batch_id': 31}
2026-01-28 04:08:08,928 | INFO | EVENT retrain_update batch_id=32 reason=periodic train_n=500 wall=0.00500035285949707 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 27, 'buffer_size': 500, 'global_batch_id': 32}
2026-01-28 04:08:08,943 | INFO | EVENT retrain_update batch_id=33 reason=periodic train_n=500 wall=0.004998445510864258 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 28, 'buffer_size': 500, 'global_batch_id': 33}
2026-01-28 04:08:08,959 | INFO | EVENT retrain_update batch_id=34 reason=periodic train_n=500 wall=0.005997180938720703 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 29, 'buffer_size': 500, 'global_batch_id': 34}
2026-01-28 04:08:08,972 | INFO | EVENT retrain_update batch_id=35 reason=periodic train_n=500 wall=0.004998683929443359 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 30, 'buffer_size': 500, 'global_batch_id': 35}
2026-01-28 04:08:08,987 | INFO | EVENT retrain_update batch_id=36 reason=periodic train_n=500 wall=0.0059967041015625 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 31, 'buffer_size': 500, 'global_batch_id': 36}
2026-01-28 04:08:09,001 | INFO | EVENT retrain_update batch_id=37 reason=periodic train_n=500 wall=0.00600123405456543 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 32, 'buffer_size': 500, 'global_batch_id': 37}
2026-01-28 04:08:09,016 | INFO | EVENT retrain_update batch_id=38 reason=periodic train_n=500 wall=0.004998683929443359 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 33, 'buffer_size': 500, 'global_batch_id': 38}
2026-01-28 04:08:09,030 | INFO | EVENT retrain_update batch_id=39 reason=periodic train_n=500 wall=0.0059969425201416016 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 34, 'buffer_size': 500, 'global_batch_id': 39}
2026-01-28 04:08:09,044 | INFO | EVENT retrain_update batch_id=40 reason=periodic train_n=500 wall=0.00500035285949707 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 35, 'buffer_size': 500, 'global_batch_id': 40}
2026-01-28 04:08:09,062 | INFO | EVENT retrain_update batch_id=41 reason=periodic train_n=500 wall=0.00599980354309082 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 36, 'buffer_size': 500, 'global_batch_id': 41}
2026-01-28 04:08:09,076 | INFO | EVENT retrain_update batch_id=42 reason=periodic train_n=500 wall=0.005995750427246094 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 37, 'buffer_size': 500, 'global_batch_id': 42}
2026-01-28 04:08:09,091 | INFO | EVENT retrain_update batch_id=43 reason=periodic train_n=500 wall=0.00600123405456543 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 38, 'buffer_size': 500, 'global_batch_id': 43}
2026-01-28 04:08:09,106 | INFO | EVENT retrain_update batch_id=44 reason=periodic train_n=500 wall=0.00599980354309082 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 39, 'buffer_size': 500, 'global_batch_id': 44}
2026-01-28 04:08:09,121 | INFO | EVENT retrain_update batch_id=45 reason=periodic train_n=500 wall=0.005998849868774414 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 40, 'buffer_size': 500, 'global_batch_id': 45}
2026-01-28 04:08:09,121 | INFO | Run finished. total={'wall_sec': 0.9673435688018799, 'cpu_sec': 0.921875, 'cpu_pct': 95.2996463440393, 'rss_mb': None} peak_rss_mb=None
