2026-01-29 02:51:02,595 | INFO | Run started: run_id=cfpb_company_sudden__retrain_p1_all_seen_fit__025102
2026-01-29 02:51:02,595 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260129_025059__cfpb_gradual_sgd\runs\cfpb_company_sudden__retrain_p1_all_seen_fit__025102
2026-01-29 02:51:04,801 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=5000 wall=0.21262264251708984 cpu=0.203125 rss_mb=None info={'pretrain_batches': 10, 'pre_acc': 0.7262, 'pre_f1_macro': 0.5237384729591804}
2026-01-29 02:51:05,060 | INFO | EVENT retrain_fit batch_id=11 reason=periodic train_n=5500 wall=0.23606348037719727 cpu=0.234375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 1, 'buffer_size': 5500, 'global_batch_id': 11}
2026-01-29 02:51:05,342 | INFO | EVENT retrain_fit batch_id=12 reason=periodic train_n=6000 wall=0.2551901340484619 cpu=0.25 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 2, 'buffer_size': 6000, 'global_batch_id': 12}
2026-01-29 02:51:05,633 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=6500 wall=0.2721550464630127 cpu=0.265625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 3, 'buffer_size': 6500, 'global_batch_id': 13}
2026-01-29 02:51:05,943 | INFO | EVENT retrain_fit batch_id=14 reason=periodic train_n=7000 wall=0.2857961654663086 cpu=0.28125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 4, 'buffer_size': 7000, 'global_batch_id': 14}
2026-01-29 02:51:06,284 | INFO | EVENT retrain_fit batch_id=15 reason=periodic train_n=7500 wall=0.31714916229248047 cpu=0.3125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 5, 'buffer_size': 7500, 'global_batch_id': 15}
2026-01-29 02:51:06,636 | INFO | EVENT retrain_fit batch_id=16 reason=periodic train_n=8000 wall=0.3263974189758301 cpu=0.3125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 6, 'buffer_size': 8000, 'global_batch_id': 16}
2026-01-29 02:51:07,005 | INFO | EVENT retrain_fit batch_id=17 reason=periodic train_n=8500 wall=0.3472256660461426 cpu=0.34375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 7, 'buffer_size': 8500, 'global_batch_id': 17}
2026-01-29 02:51:07,407 | INFO | EVENT retrain_fit batch_id=18 reason=periodic train_n=9000 wall=0.3789849281311035 cpu=0.375 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 8, 'buffer_size': 9000, 'global_batch_id': 18}
