2026-01-29 01:41:39,565 | INFO | Run started: run_id=label_temporary__retrain_p1_last_window_wb1_fit__014139
2026-01-29 01:41:39,566 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260129_013948__label_temporary_nb\runs\label_temporary__retrain_p1_last_window_wb1_fit__014139
2026-01-29 01:41:40,731 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.21819734573364258 cpu=0.21875 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 0.98, 'pre_f1_macro': 0.9470611752588496}
2026-01-29 01:41:40,828 | INFO | EVENT retrain_fit batch_id=6 reason=periodic train_n=500 wall=0.04440593719482422 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 1, 'buffer_size': 500, 'global_batch_id': 6}
2026-01-29 01:41:40,939 | INFO | EVENT retrain_fit batch_id=7 reason=periodic train_n=500 wall=0.048322439193725586 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 2, 'buffer_size': 500, 'global_batch_id': 7}
2026-01-29 01:41:41,037 | INFO | EVENT retrain_fit batch_id=8 reason=periodic train_n=500 wall=0.04915571212768555 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 3, 'buffer_size': 500, 'global_batch_id': 8}
2026-01-29 01:41:41,142 | INFO | EVENT retrain_fit batch_id=9 reason=periodic train_n=500 wall=0.054186344146728516 cpu=0.0625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 4, 'buffer_size': 500, 'global_batch_id': 9}
2026-01-29 01:41:41,261 | INFO | EVENT retrain_fit batch_id=10 reason=periodic train_n=500 wall=0.05945611000061035 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 5, 'buffer_size': 500, 'global_batch_id': 10}
2026-01-29 01:41:41,359 | INFO | EVENT retrain_fit batch_id=11 reason=periodic train_n=500 wall=0.04482769966125488 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 6, 'buffer_size': 500, 'global_batch_id': 11}
2026-01-29 01:41:41,464 | INFO | EVENT retrain_fit batch_id=12 reason=periodic train_n=500 wall=0.054666757583618164 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 7, 'buffer_size': 500, 'global_batch_id': 12}
2026-01-29 01:41:41,560 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=500 wall=0.04455161094665527 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 8, 'buffer_size': 500, 'global_batch_id': 13}
2026-01-29 01:41:41,706 | INFO | EVENT retrain_fit batch_id=14 reason=periodic train_n=500 wall=0.07053542137145996 cpu=0.078125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 9, 'buffer_size': 500, 'global_batch_id': 14}
2026-01-29 01:41:41,809 | INFO | EVENT retrain_fit batch_id=15 reason=periodic train_n=500 wall=0.05007195472717285 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 10, 'buffer_size': 500, 'global_batch_id': 15}
2026-01-29 01:41:41,890 | INFO | EVENT retrain_fit batch_id=16 reason=periodic train_n=500 wall=0.03787732124328613 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 11, 'buffer_size': 500, 'global_batch_id': 16}
2026-01-29 01:41:41,987 | INFO | EVENT retrain_fit batch_id=17 reason=periodic train_n=500 wall=0.04604673385620117 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 12, 'buffer_size': 500, 'global_batch_id': 17}
2026-01-29 01:41:42,069 | INFO | EVENT retrain_fit batch_id=18 reason=periodic train_n=500 wall=0.03784513473510742 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 13, 'buffer_size': 500, 'global_batch_id': 18}
2026-01-29 01:41:42,147 | INFO | EVENT retrain_fit batch_id=19 reason=periodic train_n=500 wall=0.0350337028503418 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 14, 'buffer_size': 500, 'global_batch_id': 19}
2026-01-29 01:41:42,241 | INFO | EVENT retrain_fit batch_id=20 reason=periodic train_n=500 wall=0.04830527305603027 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 15, 'buffer_size': 500, 'global_batch_id': 20}
2026-01-29 01:41:42,323 | INFO | EVENT retrain_fit batch_id=21 reason=periodic train_n=500 wall=0.03633737564086914 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 16, 'buffer_size': 500, 'global_batch_id': 21}
2026-01-29 01:41:42,417 | INFO | EVENT retrain_fit batch_id=22 reason=periodic train_n=500 wall=0.04466843605041504 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 17, 'buffer_size': 500, 'global_batch_id': 22}
2026-01-29 01:41:42,521 | INFO | EVENT retrain_fit batch_id=23 reason=periodic train_n=500 wall=0.05295705795288086 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 18, 'buffer_size': 500, 'global_batch_id': 23}
2026-01-29 01:41:42,604 | INFO | EVENT retrain_fit batch_id=24 reason=periodic train_n=500 wall=0.04002189636230469 cpu=0.03125 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 19, 'buffer_size': 500, 'global_batch_id': 24}
2026-01-29 01:41:42,693 | INFO | EVENT retrain_fit batch_id=25 reason=periodic train_n=500 wall=0.041632890701293945 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 20, 'buffer_size': 500, 'global_batch_id': 25}
2026-01-29 01:41:42,793 | INFO | EVENT retrain_fit batch_id=26 reason=periodic train_n=500 wall=0.04653358459472656 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 21, 'buffer_size': 500, 'global_batch_id': 26}
