2026-01-29 02:46:47,636 | INFO | Run started: run_id=cfpb_company_sudden__retrain_p2_all_seen_fit__024647
2026-01-29 02:46:47,636 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260129_024542__cfpb_gradual_lr\runs\cfpb_company_sudden__retrain_p2_all_seen_fit__024647
2026-01-29 02:46:50,194 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=5000 wall=0.5231187343597412 cpu=0.515625 rss_mb=None info={'pretrain_batches': 10, 'pre_acc': 0.7616, 'pre_f1_macro': 0.556067159761591}
2026-01-29 02:46:50,823 | INFO | EVENT retrain_fit batch_id=12 reason=periodic train_n=6000 wall=0.5666594505310059 cpu=0.546875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 2, 'buffer_size': 6000, 'global_batch_id': 12}
2026-01-29 02:46:51,587 | INFO | EVENT retrain_fit batch_id=14 reason=periodic train_n=7000 wall=0.7050621509552002 cpu=0.6875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 4, 'buffer_size': 7000, 'global_batch_id': 14}
2026-01-29 02:46:52,472 | INFO | EVENT retrain_fit batch_id=16 reason=periodic train_n=8000 wall=0.8261985778808594 cpu=0.796875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 6, 'buffer_size': 8000, 'global_batch_id': 16}
2026-01-29 02:46:53,776 | INFO | EVENT retrain_fit batch_id=18 reason=periodic train_n=9000 wall=1.2342674732208252 cpu=1.21875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 8, 'buffer_size': 9000, 'global_batch_id': 18}
2026-01-29 02:46:54,891 | INFO | EVENT retrain_fit batch_id=20 reason=periodic train_n=10000 wall=1.0450241565704346 cpu=1.03125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 10, 'buffer_size': 10000, 'global_batch_id': 20}
2026-01-29 02:46:56,145 | INFO | EVENT retrain_fit batch_id=22 reason=periodic train_n=11000 wall=1.193270206451416 cpu=1.1875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 12, 'buffer_size': 11000, 'global_batch_id': 22}
2026-01-29 02:46:57,446 | INFO | EVENT retrain_fit batch_id=24 reason=periodic train_n=12000 wall=1.2403409481048584 cpu=1.25 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 14, 'buffer_size': 12000, 'global_batch_id': 24}
2026-01-29 02:46:58,940 | INFO | EVENT retrain_fit batch_id=26 reason=periodic train_n=13000 wall=1.4330263137817383 cpu=1.421875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 16, 'buffer_size': 13000, 'global_batch_id': 26}
2026-01-29 02:47:00,549 | INFO | EVENT retrain_fit batch_id=28 reason=periodic train_n=14000 wall=1.5469377040863037 cpu=1.546875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 18, 'buffer_size': 14000, 'global_batch_id': 28}
2026-01-29 02:47:02,234 | INFO | EVENT retrain_fit batch_id=30 reason=periodic train_n=15000 wall=1.622154951095581 cpu=1.625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 20, 'buffer_size': 15000, 'global_batch_id': 30}
2026-01-29 02:47:04,119 | INFO | EVENT retrain_fit batch_id=32 reason=periodic train_n=16000 wall=1.8235721588134766 cpu=1.828125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 22, 'buffer_size': 16000, 'global_batch_id': 32}
2026-01-29 02:47:06,280 | INFO | EVENT retrain_fit batch_id=34 reason=periodic train_n=17000 wall=2.0949840545654297 cpu=2.09375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 24, 'buffer_size': 17000, 'global_batch_id': 34}
2026-01-29 02:47:08,645 | INFO | EVENT retrain_fit batch_id=36 reason=periodic train_n=18000 wall=2.2908570766448975 cpu=2.28125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 26, 'buffer_size': 18000, 'global_batch_id': 36}
2026-01-29 02:47:11,375 | INFO | EVENT retrain_fit batch_id=38 reason=periodic train_n=19000 wall=2.664759635925293 cpu=2.640625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 28, 'buffer_size': 19000, 'global_batch_id': 38}
2026-01-29 02:47:13,934 | INFO | EVENT retrain_fit batch_id=40 reason=periodic train_n=20000 wall=2.4994871616363525 cpu=2.484375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 30, 'buffer_size': 20000, 'global_batch_id': 40}
2026-01-29 02:47:16,636 | INFO | EVENT retrain_fit batch_id=42 reason=periodic train_n=21000 wall=2.6392483711242676 cpu=2.625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 32, 'buffer_size': 21000, 'global_batch_id': 42}
2026-01-29 02:47:19,446 | INFO | EVENT retrain_fit batch_id=44 reason=periodic train_n=22000 wall=2.745018243789673 cpu=2.734375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 34, 'buffer_size': 22000, 'global_batch_id': 44}
2026-01-29 02:47:19,479 | INFO | Run finished. total={'wall_sec': 31.842634439468384, 'cpu_sec': 31.625, 'cpu_pct': 99.3165313005678, 'rss_mb': None} peak_rss_mb=None
