2026-01-27 14:04:37,147 | INFO | EVENT retrain_fit batch_id=30 reason=periodic train_n=500 wall=0.008996963500976562 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 24, 'buffer_size': 500, 'global_batch_id': 30}
2026-01-27 14:04:37,160 | INFO | EVENT retrain_fit batch_id=31 reason=periodic train_n=500 wall=0.00699925422668457 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 25, 'buffer_size': 500, 'global_batch_id': 31}
2026-01-27 14:04:37,174 | INFO | EVENT retrain_fit batch_id=32 reason=periodic train_n=500 wall=0.006999015808105469 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 26, 'buffer_size': 500, 'global_batch_id': 32}
2026-01-27 14:04:37,188 | INFO | EVENT retrain_fit batch_id=33 reason=periodic train_n=500 wall=0.007001161575317383 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 27, 'buffer_size': 500, 'global_batch_id': 33}
2026-01-27 14:04:37,201 | INFO | EVENT retrain_fit batch_id=34 reason=periodic train_n=500 wall=0.008001089096069336 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 28, 'buffer_size': 500, 'global_batch_id': 34}
2026-01-27 14:04:37,214 | INFO | EVENT retrain_fit batch_id=35 reason=periodic train_n=500 wall=0.007000923156738281 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 29, 'buffer_size': 500, 'global_batch_id': 35}
2026-01-27 14:04:37,226 | INFO | EVENT retrain_fit batch_id=36 reason=periodic train_n=500 wall=0.007000446319580078 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 30, 'buffer_size': 500, 'global_batch_id': 36}
2026-01-27 14:04:37,239 | INFO | EVENT retrain_fit batch_id=37 reason=periodic train_n=500 wall=0.0069997310638427734 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 31, 'buffer_size': 500, 'global_batch_id': 37}
2026-01-27 14:04:37,251 | INFO | EVENT retrain_fit batch_id=38 reason=periodic train_n=500 wall=0.0070002079010009766 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 32, 'buffer_size': 500, 'global_batch_id': 38}
2026-01-27 14:04:37,265 | INFO | EVENT retrain_fit batch_id=39 reason=periodic train_n=500 wall=0.007001161575317383 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 33, 'buffer_size': 500, 'global_batch_id': 39}
2026-01-27 14:04:37,279 | INFO | EVENT retrain_fit batch_id=40 reason=periodic train_n=500 wall=0.007999658584594727 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 34, 'buffer_size': 500, 'global_batch_id': 40}
2026-01-27 14:04:37,292 | INFO | EVENT retrain_fit batch_id=41 reason=periodic train_n=500 wall=0.007001161575317383 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 35, 'buffer_size': 500, 'global_batch_id': 41}
2026-01-27 14:04:37,310 | INFO | EVENT retrain_fit batch_id=42 reason=periodic train_n=500 wall=0.006000041961669922 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 36, 'buffer_size': 500, 'global_batch_id': 42}
2026-01-27 14:04:37,312 | INFO | Run finished. total={'wall_sec': 0.5847065448760986, 'cpu_sec': 0.5625, 'cpu_pct': 96.20210427423824, 'rss_mb': None} peak_rss_mb=None
