2026-01-28 04:21:41,099 | INFO | Run started: run_id=BE_temporary__retrain_p1_last_window_wb1_fit__042141
2026-01-28 04:21:41,099 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260128_042121__domain_temporary\runs\BE_temporary__retrain_p1_last_window_wb1_fit__042141
2026-01-28 04:21:41,400 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.04200029373168945 cpu=0.03125 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 1.0, 'pre_f1_macro': 1.0}
2026-01-28 04:21:41,427 | INFO | EVENT retrain_fit batch_id=6 reason=periodic train_n=500 wall=0.008239269256591797 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 1, 'buffer_size': 500, 'global_batch_id': 6}
2026-01-28 04:21:41,452 | INFO | EVENT retrain_fit batch_id=7 reason=periodic train_n=500 wall=0.008779525756835938 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 2, 'buffer_size': 500, 'global_batch_id': 7}
2026-01-28 04:21:41,471 | INFO | EVENT retrain_fit batch_id=8 reason=periodic train_n=500 wall=0.008580923080444336 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 3, 'buffer_size': 500, 'global_batch_id': 8}
2026-01-28 04:21:41,490 | INFO | EVENT retrain_fit batch_id=9 reason=periodic train_n=500 wall=0.00907754898071289 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 4, 'buffer_size': 500, 'global_batch_id': 9}
2026-01-28 04:21:41,510 | INFO | EVENT retrain_fit batch_id=10 reason=periodic train_n=500 wall=0.008224010467529297 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 5, 'buffer_size': 500, 'global_batch_id': 10}
2026-01-28 04:21:41,530 | INFO | EVENT retrain_fit batch_id=11 reason=periodic train_n=500 wall=0.00810551643371582 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 6, 'buffer_size': 500, 'global_batch_id': 11}
2026-01-28 04:21:41,550 | INFO | EVENT retrain_fit batch_id=12 reason=periodic train_n=500 wall=0.008893251419067383 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 7, 'buffer_size': 500, 'global_batch_id': 12}
2026-01-28 04:21:41,565 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=500 wall=0.006799221038818359 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 8, 'buffer_size': 500, 'global_batch_id': 13}
2026-01-28 04:21:41,577 | INFO | EVENT retrain_fit batch_id=14 reason=periodic train_n=500 wall=0.002563953399658203 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 9, 'buffer_size': 500, 'global_batch_id': 14}
2026-01-28 04:21:41,597 | INFO | EVENT retrain_fit batch_id=15 reason=periodic train_n=500 wall=0.0064737796783447266 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 10, 'buffer_size': 500, 'global_batch_id': 15}
2026-01-28 04:21:41,613 | INFO | EVENT retrain_fit batch_id=16 reason=periodic train_n=500 wall=0.0073626041412353516 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 11, 'buffer_size': 500, 'global_batch_id': 16}
2026-01-28 04:21:41,629 | INFO | EVENT retrain_fit batch_id=17 reason=periodic train_n=500 wall=0.005663633346557617 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 12, 'buffer_size': 500, 'global_batch_id': 17}
2026-01-28 04:21:41,646 | INFO | EVENT retrain_fit batch_id=18 reason=periodic train_n=500 wall=0.006363868713378906 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 13, 'buffer_size': 500, 'global_batch_id': 18}
